name,email,password,designation,phone_number,department
John Smith,johnsmith@jerusalemengg.ac.in,Dinesh,Assistant Professor,9940542435,CSE
Emma Johnson,emmajohnson@jerusalemengg.ac.in,Dinesh,Associate Professor,9940542435,CSE
Liam Brown,liambrown@jerusalemengg.ac.in,Dinesh,Professor,9940542435,CSE
Olivia Wilson,oliviawilson@jerusalemengg.ac.in,Dinesh,Assistant Professor,9940542435,CSE
Noah Miller,noahmiller@jerusalemengg.ac.in,Dinesh,Associate Professor,9940542435,CSE
Sophia Davis,sophiadavis@jerusalemengg.ac.in,Dinesh,Professor,9940542435,CSE
Mason Garcia,masongarcia@jerusalemengg.ac.in,Dinesh,Assistant Professor,9940542435,CSE
Ava Martinez,avamartinez@jerusalemengg.ac.in,Dinesh,Associate Professor,9940542435,CSE
Lucas Rodriguez,lucasrodriguez@jerusalemengg.ac.in,Dinesh,Professor,9940542435,CSE
Isabella Hernandez,isabellahernandez@jerusalemengg.ac.in,Dinesh,Assistant Professor,9940542435,CSE
Ethan Young,ethanyoung@jerusalemengg.ac.in,Dinesh,Associate Professor,9940542435,CSE
Mia Allen,miaallen@jerusalemengg.ac.in,Dinesh,Professor,9940542435,CSE
James Scott,jamesscott@jerusalemengg.ac.in,Dinesh,Assistant Professor,9940542435,CSE
Benjamin Green,benjamingreen@jerusalemengg.ac.in,Dinesh,Associate Professor,9940542435,CSE
Harper Adams,harperadams@jerusalemengg.ac.in,Dinesh,Professor,9940542435,CSE
